id,plate,car_label,vehicle_id,event_status,out_date,expected_return_date,follow_date,actual_in_date,driver,liable_party,charge_to,garage,maintenance_type,service_main,service_sup,damage_location,severity,responsible,spare_part,invoice_no,cost,maintenance_notes,cost_notes
58727,"R 52568","KIA OPTIMA - Grey - 2014 - R 52568",1634,IN,2023-07-26,2023-07-26,2023-07-26,2023-07-26,PETER,,,"TIRE AND MORE",,,,,,,,,,,
58728,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,OUT,2023-07-26,,2023-07-26,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"need to change the cooling water",
58729,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,IN,2023-07-26,2023-07-26,2023-07-26,2023-07-26,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58730,"Z 19115","NISSAN PATROL NISMO - Dark Blue - 2019 - Z 19115",1807,Change,2023-07-25,2023-07-27,2023-07-26,,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58731,"F 68475","NISSAN PATROL BLACK HAWK - Silver - 2018 - F 68475",1703,IN,,2023-07-26,2023-07-26,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58732,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,IN,,2023-07-26,2023-07-26,,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58733,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,Change,,2023-07-27,2023-07-26,,WALEED,,,"ISSA ALABD",,,,,,,,,,"radar// AC",
58734,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,IN,2023-07-20,2023-07-27,2023-07-27,2023-07-27,WALEED,,,RMR,,,,,,,,,,,
58735,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,OUT,2023-07-27,2023-07-27,2023-07-27,,WALEED,,,"HOT LINE",,,,,,,,,,,
58736,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,IN,2023-07-27,2023-07-27,2023-07-27,2023-07-27,WALEED,,,"HOT LINE",,,,,,,,,,,
58737,"Y 25875","CHEVROLET CAMARO Conv - Red Black - 2019 - Y 25875",1782,OUT,2023-07-27,,2023-07-27,,Waqar,,,"TIRE AND MORE",,,,,,,,,,,
58738,"T 47925","DODGE CHALLENGER - Grey Red - 2019 - T 47925",1738,IN,2023-07-26,2023-07-27,2023-07-27,2023-07-27,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58739,"Z 96884","INFINITI QX56 - Blue Orange - 2020 - Z 96884",1817,OUT,2023-07-27,2023-07-27,2023-07-27,,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58740,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,IN,2023-07-26,2023-07-27,2023-07-27,2023-07-26,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58741,"I 29962","JAGUAR E-PACE - Black - 2021 - I 29962",1790,IN,2023-07-16,2023-07-27,2023-07-27,2023-07-27,ABDULLAH,,,RMR,,,,,,,,,,"return from rmr",
58742,"G 52886","MERCEDES C300 - Black - 2020 - G 52886",1755,OUT,2023-07-27,2023-07-29,2023-07-27,,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58743,"Z 19115","NISSAN PATROL NISMO - Dark Blue - 2019 - Z 19115",1807,IN,2023-07-25,2023-07-27,2023-07-27,2023-07-27,ABDULLAH,,,"HOT LINE",,,,,,,,,,"return from hot line but not ready",
58744,"F 68475","NISSAN PATROL BLACK HAWK - Silver - 2018 - F 68475",1703,OUT,,2023-07-27,2023-07-27,,IMRAN,,,"POWER POINT",,,,,,,,,,,
58745,"F 68475","NISSAN PATROL BLACK HAWK - Silver - 2018 - F 68475",1703,IN,,2023-07-27,2023-07-27,,PETER,,,"POWER POINT",,,,,,,,,,,
58746,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,OUT,,2023-07-27,2023-07-27,,TAYEEF,,,"TIRE AND MORE",,,,,,,,,,,
58747,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,IN,,2023-07-27,2023-07-27,,TAYEEF,,,"TIRE AND MORE",,,,,,,,,,,
58748,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,Change,,,2023-07-27,,WALEED,,,"ALQWH AL ZAADH",,,,,,,,,,,
58749,"G 43567","CHEVROLET CAMARO - Silver Black - 2018 - G 43567",1718,OUT,2023-07-28,2023-07-28,2023-07-28,,TAYEEF,,,"POWER POINT",,,,,,,,,,"scratch in ring",
58750,"G 43567","CHEVROLET CAMARO - Silver Black - 2018 - G 43567",1718,IN,2023-07-28,2023-07-28,2023-07-28,2023-07-28,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58751,"Y 25875","CHEVROLET CAMARO Conv - Red Black - 2019 - Y 25875",1782,IN,2023-07-27,2023-07-28,2023-07-28,2023-07-28,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,,
58752,"T 53963","INFINITI QX80 BLACK HAWK - Black - 2019 - T 53963",1775,OUT,2023-07-28,2023-07-28,2023-07-28,,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,,
58753,"T 53963","INFINITI QX80 BLACK HAWK - Black - 2019 - T 53963",1775,IN,2023-07-28,2023-07-28,2023-07-28,2023-07-28,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"scratch in bumper",
58754,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,OUT,2023-07-28,2023-07-30,2023-07-28,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58755,"Z 19115","NISSAN PATROL NISMO - Dark Blue - 2019 - Z 19115",1807,OUT,2023-07-28,2023-07-28,2023-07-28,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"oil and fillter change",
58756,"Z 19115","NISSAN PATROL NISMO - Dark Blue - 2019 - Z 19115",1807,Change,2023-07-28,2023-07-28,2023-07-28,,ABDULLAH,,,HAWAK,,,,,,,,,,,
58757,"Z 19115","NISSAN PATROL NISMO - Dark Blue - 2019 - Z 19115",1807,IN,2023-07-28,2023-07-28,2023-07-28,2023-07-28,ABDULLAH,,,HAWAK,,,,,,,,,,,
58758,"Y 32508","CHEVROLET CAMARO Conv - Blue Black - 2019 - Y 32508",1787,OUT,2023-07-29,2023-07-30,2023-07-29,,WALEED,,,"POWER POINT",,,,,,,,,,,
58759,"Z 96884","INFINITI QX56 - Blue Orange - 2020 - Z 96884",1817,Change,2023-07-27,2023-07-29,2023-07-29,,ABDULLAH,,,"ISSA ALABD",,,,,,,,,,radar,
58760,"I 29962","JAGUAR E-PACE - Black - 2021 - I 29962",1790,OUT,2023-07-29,,2023-07-29,,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58761,"I 29962","JAGUAR E-PACE - Black - 2021 - I 29962",1790,Change,2023-07-29,2023-07-29,2023-07-29,,ABDULLAH,,,RMR,,,,,,,,,,,
58762,"I 29962","JAGUAR E-PACE - Black - 2021 - I 29962",1790,IN,2023-07-29,2023-07-29,2023-07-29,2023-07-29,ABDULLAH,,,RMR,,,,,,,,,,,
58763,"C 64845","MERCEDES C300 - Silver - 2020 - C 64845",1836,OUT,2023-07-29,2023-07-29,2023-07-29,,ABDULLAH,,,HAWAK,,,,,,,,,,,
58764,"C 64845","MERCEDES C300 - Silver - 2020 - C 64845",1836,Change,2023-07-29,2023-07-29,2023-07-29,,ABDULLAH,,,GOATRO,,,,,,,,,,,
58765,"C 64845","MERCEDES C300 - Silver - 2020 - C 64845",1836,IN,2023-07-29,2023-07-29,2023-07-29,2023-07-29,ABDULLAH,,,GOATRO,,,,,,,,,,,
58766,"Y 81147","NISSAN PATROL BLUE HAWK - Blue - 2019 - Y 81147",1792,IN,,2023-07-29,2023-07-29,,WALEED,,,"POWER POINT",,,,,,,,,,"change oil and fillter",
58767,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,OUT,,2023-07-29,2023-07-29,,WALEED,,,"HOT LINE",,,,,,,,,,,
58768,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,IN,,2023-07-29,2023-07-29,,WALEED,,,"HOT LINE",,,,,,,,,,,
58769,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,Change,,2023-07-30,2023-07-29,,,,,"ISSA ALABD",,,,,,,,,,"need aps",
58770,"Q 44234","DODGE CHARGER - Blue Black - 2018 - Q 44234",1697,Change,2023-07-30,,2023-07-30,,WALEED,,,"POWER POINT",,,,,,,,,,,
58771,"Q 44234","DODGE CHARGER - Blue Black - 2018 - Q 44234",1697,OUT,2023-07-30,,2023-07-30,,WALEED,,,"TIRE AND MORE",,,,,,,,,,,
58772,"Q 44234","DODGE CHARGER - Blue Black - 2018 - Q 44234",1697,IN,2023-07-30,,2023-07-30,,WALEED,,,"TIRE AND MORE",,,,,,,,,,,
58773,"Q 44234","DODGE CHARGER - Blue Black - 2018 - Q 44234",1697,IN,2023-07-30,2023-07-30,2023-07-30,2023-07-30,WALEED,,,"POWER POINT",,,,,,,,,,,
58774,"W 64589","HYUNDAI SANTA FE - White - 2019 - W 64589",1710,OUT,2023-07-30,,2023-07-30,,WALEED,,,"TIRE AND MORE",,,,,,,,,,"need to change engine oil and ac filter need to change and front right side Head light not working",
58775,"W 64589","HYUNDAI SANTA FE - White - 2019 - W 64589",1710,IN,2023-07-30,2023-07-30,2023-07-30,2023-07-30,IMRAN,,,"TIRE AND MORE",,,,,,,,,,,
58776,"Z 96884","INFINITI QX56 - Blue Orange - 2020 - Z 96884",1817,Delay,2023-07-27,2023-07-31,2023-07-30,2023-07-31,WALEED,,,"ISSA ALABD",,,,,,,,,,"radar problem",
58777,"G 52886","MERCEDES C300 - Black - 2020 - G 52886",1755,Delay,2023-07-27,2023-07-31,2023-07-30,2023-07-31,WALEED,,,"HOT LINE",,,,,,,,,,,
58778,"Y 32508","CHEVROLET CAMARO Conv - Blue Black - 2019 - Y 32508",1787,Delay,2023-07-29,2023-07-31,2023-07-31,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58779,"Y 32508","CHEVROLET CAMARO Conv - Blue Black - 2019 - Y 32508",1787,IN,2023-07-29,2023-07-31,2023-07-31,,WALEED,,,"POWER POINT",,,,,,,,,,,
58780,"Y 32508","CHEVROLET CAMARO Conv - Blue Black - 2019 - Y 32508",1787,Change,2023-07-29,2023-07-31,2023-07-31,,WALEED,,,"TIRE AND MORE",,,,,,,,,,,
58781,"Y 32508","CHEVROLET CAMARO Conv - Blue Black - 2019 - Y 32508",1787,IN,2023-07-29,2023-07-31,2023-07-31,2023-07-31,Waqar,,,"TIRE AND MORE",,,,,,,,,,,
58782,"C 38923","CHEVROLET TRAVERSE - Sliver - 2020 - C 38923",1828,IN,2023-07-01,2023-07-31,2023-07-31,2023-07-31,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58783,"C 38923","CHEVROLET TRAVERSE - Sliver - 2020 - C 38923",1828,OUT,2023-07-31,2023-08-01,2023-07-31,2023-07-31,ABDULLAH,,,"FUTURE TYRES",,,,,,,,,,,
58784,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,OUT,2023-07-31,2023-08-01,2023-07-31,2023-07-31,WALEED,,,"POWER POINT",,,,,,,,,,,
58785,"G 53308","FORD TAURUS - Black - 2019 - G 53308",1759,OUT,2023-07-31,,2023-07-31,2023-07-31,WALEED,,,"HOT LINE",,,,,,,,,,,
58786,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,Delay,2023-07-28,2023-07-31,2023-07-31,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58787,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,IN,2023-07-28,2023-07-31,2023-07-31,2023-07-31,Waqar,,,"POWER POINT",,,,,,,,,,,
58788,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,OUT,2023-07-31,2023-08-01,2023-07-31,2023-07-31,Waqar,,,"FUTURE TYRES",,,,,,,,,,,
58789,"X 81843","MERCEDES C43 AMG - Black - 2018 - X 81843",1749,OUT,2023-07-31,2023-08-01,2023-07-31,,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58790,"X 81843","MERCEDES C43 AMG - Black - 2018 - X 81843",1749,IN,2023-07-31,2023-07-31,2023-07-31,2023-07-31,ABDULLAH,,,"HOT LINE",,,,,,,,,,,
58791,"X 81843","MERCEDES C43 AMG - Black - 2018 - X 81843",1749,OUT,2023-07-31,2023-08-01,2023-07-31,2023-07-31,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58792,"V 14234","MERCEDES E300 - Blue - 2019 - V 14234",1802,OUT,2023-07-31,,2023-07-31,,Waqar,,,"POWER POINT",,,,,,,,,,,
58793,"V 14234","MERCEDES E300 - Blue - 2019 - V 14234",1802,IN,2023-07-31,2023-07-31,2023-07-31,2023-07-31,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58794,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,Delay,,2023-07-31,2023-07-31,,ABDULLAH,,,"ISSA ALABD",,,,,,,,,,,
58795,"C 38923","CHEVROLET TRAVERSE - Sliver - 2020 - C 38923",1828,IN,2023-08-01,2023-08-01,2023-08-01,2023-08-01,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58796,"C 38923","CHEVROLET TRAVERSE - Sliver - 2020 - C 38923",1828,OUT,2023-08-01,,2023-08-01,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58797,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,IN,2023-08-01,2023-08-01,2023-08-01,2023-08-01,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58798,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,OUT,2023-08-01,,2023-08-01,,ABDULLAH,,,"ALQWH AL ZAADH",,,,,,,,,,,
58799,"Y 25873","FORD MUSTANG Conv - Grey Orange - 2019 - Y 25873",1780,OUT,2023-08-01,2023-08-02,2023-08-01,,WALEED,,,"HOT LINE",,,,,,,,,,,
58800,"G 53308","FORD TAURUS - Black - 2019 - G 53308",1759,"Follow up",2023-08-01,2023-08-01,2023-08-01,,WALEED,,,"HOT LINE",,,,,,,,,,,
58801,"G 53308","FORD TAURUS - Black - 2019 - G 53308",1759,IN,2023-08-01,2023-08-01,2023-08-01,2023-08-01,WALEED,,,"HOT LINE",,,,,,,,,,,
58802,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,OUT,2023-08-01,2023-08-02,2023-08-01,,WALEED,,,"HOT LINE",,,,,,,,,,"2 rings scratch by customer",
58803,"G 52886","MERCEDES C300 - Black - 2020 - G 52886",1755,Delay,2023-08-01,2023-08-01,2023-08-01,,WALEED,,,"HOT LINE",,,,,,,,,,,
58804,"X 81843","MERCEDES C43 AMG - Black - 2018 - X 81843",1749,Delay,2023-08-01,2023-08-02,2023-08-01,,WALEED,,,"POWER POINT",,,,,,,,,,"rings painted",
58805,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,"Follow up",,,2023-08-01,,WALEED,,,"ISSA ALABD",,,,,,,,,,"need new aps they dont know about expected day",
58806,"G 41377","CHEVROLET IMPALA - Silver - 2019 - G 41377",1771,OUT,2023-08-02,2023-08-03,2023-08-02,,IMRAN,,,"POWER POINT",,,,,,,,,,,
58807,"H 64188","CHEVROLET IMPALA - Silver - 2019 - H 64188",1777,OUT,2023-08-02,2023-08-04,2023-08-02,,IMRAN,,,"POWER POINT",,,,,,,,,,,
58808,"C 38923","CHEVROLET TRAVERSE - Sliver - 2020 - C 38923",1828,IN,2023-08-01,2023-08-02,2023-08-02,2023-08-02,IMRAN,,,"POWER POINT",,,,,,,,,,,
58809,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,OUT,2023-08-02,2023-08-05,2023-08-02,,WALEED,,,"HOT LINE",,,,,,,,,,,
58810,"G 52886","MERCEDES C300 - Black - 2020 - G 52886",1755,Delay,2023-08-01,2023-08-02,2023-08-02,,WALEED,,,"HOT LINE",,,,,,,,,,polish,
58811,"G 52886","MERCEDES C300 - Black - 2020 - G 52886",1755,IN,2023-08-01,2023-08-02,2023-08-02,2023-08-02,WALEED,,,"HOT LINE",,,,,,,,,,,
58812,"X 81843","MERCEDES C43 AMG - Black - 2018 - X 81843",1749,IN,2023-08-01,2023-08-02,2023-08-02,2023-08-01,TAYEEF,,,"POWER POINT",,,,,,,,,,,
58813,"G 41377","CHEVROLET IMPALA - Silver - 2019 - G 41377",1771,IN,2023-08-02,2023-08-03,2023-08-03,2023-08-03,WALEED,,,"POWER POINT",,,,,,,,,,,
58814,"C 38923","CHEVROLET TRAVERSE - Sliver - 2020 - C 38923",1828,OUT,2023-08-03,2023-08-04,2023-08-03,,TAYEEF,,,"FUTURE TYRES",,,,,,,,,,,
58815,"Y 32506","CHRYSLER 300 - Black - 2019 - Y 32506",1786,OUT,2023-08-03,2023-08-03,2023-08-03,,Waqar,,,"POWER POINT",,,,,,,,,,,
58816,"Y 32506","CHRYSLER 300 - Black - 2019 - Y 32506",1786,IN,2023-08-03,2023-08-03,2023-08-03,2023-08-03,Waqar,,,"POWER POINT",,,,,,,,,,,
58817,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,IN,2023-08-01,,2023-08-03,2023-08-03,WALEED,,,"ALQWH AL ZAADH",,,,,,,,,,,
58818,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,OUT,2023-08-03,,2023-08-03,,WALEED,,,"NAJM  Al Afaq",,,,,,,,,,,
58819,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,IN,2023-08-03,2023-08-03,2023-08-03,2023-08-03,TAYEEF,,,"NAJM  Al Afaq",,,,,,,,,,,
58820,"Y 25873","FORD MUSTANG Conv - Grey Orange - 2019 - Y 25873",1780,IN,2023-08-01,2023-08-03,2023-08-03,2023-08-03,GURWINDER,,,"HOT LINE",,,,,,,,,,,
58821,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,OUT,2023-08-03,2023-08-04,2023-08-03,,UZAIR,,,"POWER POINT",,,,,,,,,,,
58822,"Z 96884","INFINITI QX56 - Blue Orange - 2020 - Z 96884",1817,IN,2023-08-01,2023-08-03,2023-08-03,2023-08-03,WALEED,,,"ISSA ALABD",,,,,,,,,,,
58823,"T 53963","INFINITI QX80 BLACK HAWK - Black - 2019 - T 53963",1775,OUT,2023-08-03,,2023-08-03,,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58824,"T 53963","INFINITI QX80 BLACK HAWK - Black - 2019 - T 53963",1775,IN,2023-08-03,2023-08-03,2023-08-03,2023-08-03,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58825,"T 53963","INFINITI QX80 BLACK HAWK - Black - 2019 - T 53963",1775,OUT,2023-08-03,2023-08-04,2023-08-03,,WALEED,,,"POWER POINT",,,,,,,,,,"rings paint",
58826,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,IN,2023-08-01,2023-08-03,2023-08-03,2023-08-03,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58827,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,OUT,2023-08-03,2023-08-04,2023-08-03,,WALEED,,,"ISSA ALABD",,,,,,,,,,radar,
58828,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,Delay,2023-08-01,2023-08-04,2023-08-03,,WALEED,,,"HOT LINE",,,,,,,,,,,
58829,"W 82153","NISSAN PATROL GREY HAWK - Grey Orange - 2019 - W 82153",1774,OUT,,2023-08-03,2023-08-03,,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58830,"W 82153","NISSAN PATROL GREY HAWK - Grey Orange - 2019 - W 82153",1774,IN,,2023-08-03,2023-08-03,,UZAIR,,,"FUTURE TYRES",,,,,,,,,,,
58831,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,OUT,,2023-08-03,2023-08-03,,,,,"POWER POINT",,,,,,,,,,,
58832,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,IN,,2023-08-03,2023-08-03,,WALEED,,,"POWER POINT",,,,,,,,,,"with waleed tomorrow will go to altaf garage",
58833,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,"Follow up",,2023-08-05,2023-08-03,,WALEED,,,"ISSA ALABD",,,,,,,,,,,
58834,"F 21099","CHEVROLET CAMARO - Yellow Black - 2019 - F 21099",,OUT,2023-08-04,2023-08-05,2023-08-04,,Waqar,,,"POWER POINT",,,,,,,,,,"ring paint // pumber // oil change",
58835,"H 64188","CHEVROLET IMPALA - Silver - 2019 - H 64188",1777,IN,2023-08-02,2023-08-04,2023-08-04,2023-08-04,WALEED,,,"POWER POINT",,,,,,,,,,,
58836,"C 38923","CHEVROLET TRAVERSE - Sliver - 2020 - C 38923",1828,IN,2023-08-03,2023-08-04,2023-08-04,2023-08-04,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58837,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,OUT,2023-08-04,2023-08-04,2023-08-04,,TAYEEF,,,"NAJM  Al Afaq",,,,,,,,,,,
58838,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,IN,2023-08-04,2023-08-04,2023-08-04,2023-08-04,TAYEEF,,,"NAJM  Al Afaq",,,,,,,,,,,
58839,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,IN,2023-08-03,2023-08-04,2023-08-04,2023-08-04,WALEED,,,"POWER POINT",,,,,,,,,,,
58840,"T 53963","INFINITI QX80 BLACK HAWK - Black - 2019 - T 53963",1775,IN,2023-08-03,2023-08-04,2023-08-04,2023-08-04,WALEED,,,"POWER POINT",,,,,,,,,,,
58841,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,IN,2023-08-01,2023-08-04,2023-08-04,2023-08-04,TAYEEF,,,"HOT LINE",,,,,,,,,,,
58842,"N 3741","MERCEDES C300 - Black - 2018 - N 3741",1698,OUT,2023-08-04,2023-08-04,2023-08-04,,WALEED,,,"TIRE AND MORE",,,,,,,,,,"change  the battery",
58843,"N 3741","MERCEDES C300 - Black - 2018 - N 3741",1698,IN,2023-08-04,2023-08-04,2023-08-04,2023-08-04,WALEED,,,"TIRE AND MORE",,,,,,,,,,,
58844,"T 89529","CHEVROLET CAMARO - Red Black - 2020 - T 89529",1743,OUT,2023-08-05,2023-08-07,2023-08-05,,WALEED,,,"ALQWH AL ZAADH",,,,,,,,,,,
58845,"P 38162","CHEVROLET CAMARO - White Black - 2018 - P 38162",1713,OUT,2023-08-05,2023-08-06,2023-08-05,,TAYEEF,,,"POWER POINT",,,,,,,,,,"the right door is difficult to open and close// Front 2 rim scratches by customer",
58846,"F 21099","CHEVROLET CAMARO - Yellow Black - 2019 - F 21099",,IN,2023-08-04,2023-08-05,2023-08-05,2023-08-05,PETER,,,"POWER POINT",,,,,,,,,,,
58847,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,Delay,2023-08-02,2023-08-07,2023-08-05,,WALEED,,,"HOT LINE",,,,,,,,,,"rain damaged the paint.",
58848,"T 47927","FORD MUSTANG Conv - Orange Black - 2020 - T 47927",1740,OUT,2023-08-05,2023-08-07,2023-08-05,,PETER,,,"POWER POINT",,,,,,,,,,,
58849,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,OUT,2023-08-05,2023-08-06,2023-08-05,,WALEED,,,"ISSA ALABD",,,,,,,,,,,
58850,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,IN,2023-08-03,2023-08-05,2023-08-05,2023-08-05,WALEED,,,"ISSA ALABD",,,,,,,,,,,
58851,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,OUT,2023-08-05,2023-08-05,2023-08-05,,WALEED,,,"HOT LINE",,,,,,,,,,"rings paint// pumber fix",
58852,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,Delay,2023-08-05,2023-08-07,2023-08-05,,WALEED,,,"HOT LINE",,,,,,,,,,,
58853,"G 51363","NISSAN PATROL BLACK HAWK - Black - 2019 - G 51363",1762,OUT,2023-08-05,2023-08-07,2023-08-05,,TAYEEF,,,"POWER POINT",,,,,,,,,,,
58854,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,OUT,,,2023-08-05,,WALEED,,,ALTAAF,,,,,,,,,,,
58855,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,IN,,2023-08-05,2023-08-05,,WALEED,,,ALTAAF,,,,,,,,,,,
58856,"R 90426","NISSAN PATROL NISMO - Silver - 2019 - R 90426",1800,Delay,,2023-08-10,2023-08-05,,WALEED,,,"ISSA ALABD",,,,,,,,,,"try aps",
58857,"P 38162","CHEVROLET CAMARO - White Black - 2018 - P 38162",1713,IN,2023-08-05,2023-08-06,2023-08-06,2023-08-06,WALEED,,,"POWER POINT",,,,,,,,,,,
58858,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,IN,2023-08-05,2023-08-06,2023-08-06,,WALEED,,,"ISSA ALABD",,,,,,,,,,,
58859,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,Change,2023-08-05,2023-08-07,2023-08-06,,WALEED,,,"ALQWH AL ZAADH",,,,,,,,,,,
58860,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,OUT,2023-08-06,2023-08-06,2023-08-06,,PETER,,,"TIRE AND MORE",,,,,,,,,,,
58861,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,IN,2023-08-06,2023-08-06,2023-08-06,2023-08-06,PETER,,,"TIRE AND MORE",,,,,,,,,,,
58862,"T 89529","CHEVROLET CAMARO - Red Black - 2020 - T 89529",1743,IN,2023-08-05,2023-08-07,2023-08-07,2023-08-07,WALEED,,,"ALQWH AL ZAADH",,,,,,,,,,,
58863,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,IN,2023-08-02,2023-08-07,2023-08-07,2023-08-07,TAYEEF,,,"HOT LINE",,,,,,,,,,,
58864,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,OUT,2023-08-07,,2023-08-07,,,,,"POWER POINT",,,,,,,,,,,
58865,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,IN,2023-08-07,2023-08-07,2023-08-07,2023-08-07,PETER,,,"POWER POINT",,,,,,,,,,,
58866,"T 47927","FORD MUSTANG Conv - Orange Black - 2020 - T 47927",1740,Delay,2023-08-05,2023-08-08,2023-08-07,,WALEED,,,"POWER POINT",,,,,,,,,,,
58867,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,Delay,2023-08-05,2023-08-10,2023-08-07,,WALEED,,,"ALQWH AL ZAADH",,,,,,,,,,,
58868,"P 74880","INFINITI QX80 BLACK HAWK - Grey - 2019 - P 74880",1763,IN,2023-08-05,2023-08-07,2023-08-07,2023-08-07,TAYEEF,,,"HOT LINE",,,,,,,,,,,
58869,"V 75351","MERCEDES C300 - Black - 2020 - V 75351",1830,OUT,2023-08-07,,2023-08-07,,WALEED,,,"HOT LINE",,,,,,,,,,accidant,
58870,"G 51363","NISSAN PATROL BLACK HAWK - Black - 2019 - G 51363",1762,IN,2023-08-05,2023-08-07,2023-08-07,2023-08-07,WALEED,,,"POWER POINT",,,,,,,,,,,
